Crop,Name of the Crop,Treatment No.,Treatment Name,Replication,Dry weight (in grams)
25,WhC,1,Control,3,6.72
26,Whe,1,Control,3,8.36
27,WPV,1,Control,3,7
1,AdB,2,NB089,3,NA
2,Bar,2,NB089,3,8.92
3,BlG,2,NB089,3,NA
4,Can,2,NB089,3,10.6
5,Chi,2,NB089,3,8
6,Cot,2,NB089,3,9.7
7,Cow,2,NB089,3,13.5
8,FaB,2,NB089,3,8.36
9,FiP,2,NB089,3,10.72
10,FrB,2,NB089,3,14.06
11,Lab,2,NB089,3,11.06
12,Len,2,NB089,3,6.84
13,Luc,2,NB089,3,7.44
14,Lup,2,NB089,3,7.84
15,Mai,2,NB089,3,11
16,Mil,2,NB089,3,13.44
17,MuB,2,NB089,3,13.34
18,NaB,2,NB089,3,6.86
19,Oat,2,NB089,3,8.46
20,Pea,2,NB089,3,7.64
21,PiP,2,NB089,3,NA
22,SnM,2,NB089,3,6.84
23,Sor,2,NB089,3,9.5
24,Soy,2,NB089,3,11.68
25,WhC,2,NB089,3,6.68
26,Whe,2,NB089,3,8.06
27,WPV,2,NB089,3,7.1
1,AdB,3,DA274,3,NA
2,Bar,3,DA274,3,8.68
3,BlG,3,DA274,3,9.72
4,Can,3,DA274,3,10.98
5,Chi,3,DA274,3,8.52
6,Cot,3,DA274,3,9.78
7,Cow,3,DA274,3,11.92
8,FaB,3,DA274,3,7.86
9,FiP,3,DA274,3,9.54
10,FrB,3,DA274,3,11.84
11,Lab,3,DA274,3,10.64
12,Len,3,DA274,3,6.84
13,Luc,3,DA274,3,7.14
14,Lup,3,DA274,3,8.16
15,Mai,3,DA274,3,10.98
16,Mil,3,DA274,3,15.08
17,MuB,3,DA274,3,11.14
18,NaB,3,DA274,3,7.32
19,Oat,3,DA274,3,8.26
20,Pea,3,DA274,3,7.28
21,PiP,3,DA274,3,NA
22,SnM,3,DA274,3,6.6
23,Sor,3,DA274,3,9.72
24,Soy,3,DA274,3,10.02
25,WhC,3,DA274,3,6.82
26,Whe,3,DA274,3,8.08
27,WPV,3,DA274,3,7.28
1,AdB,4,DAR56672,3,NA
2,Bar,4,DAR56672,3,8.6
3,BlG,4,DAR56672,3,NA
4,Can,4,DAR56672,3,10.7
5,Chi,4,DAR56672,3,9.26
6,Cot,4,DAR56672,3,9.84
7,Cow,4,DAR56672,3,13.38
8,FaB,4,DAR56672,3,7.9
9,FiP,4,DAR56672,3,9.44
10,FrB,4,DAR56672,3,13.86
